Player,Team,Number,Age,Position,Nationality,ValueEUR
Indra Putra Mahayuddin,Kelantan United,23,40,Midfielders,Malaysia,50000
S. Sharvin,Kelantan United,21,21,Midfielders,Malaysia,434
Devid,Kelantan United,-,25,Forwards,Brazil,325000
Ismaheel Akinade,Kelantan United,24,27,Forwards,Nigeria,150000
Ernist Batyrkanov,Kelantan United,-,23,Forwards,Kyrgyzstan,125000
Haziq Subri,Kelantan United,-,22,Forwards,Malaysia,438
Aqil Hilman,Kelantan United,-,22,Forwards,Malaysia,439
Gregory,Kelantan United,-,26,Forwards,Brazil,440
Royizzat Daud,Kelantan United,16,22,Forwards,Malaysia,441
Nik Azli Nik Alias,Kelantan United,26,24,Forwards,Malaysia,442
Farhan Abu Bakar,Kelantan FC,-,28,Goalkeeper,Malaysia,443
Amin Ahmad,Kelantan FC,-,24,Goalkeeper,Malaysia,444
Rozaimi Rohamat,Kelantan FC,-,25,Goalkeeper,Malaysia,445
Mohd Afif,Kelantan FC,-,15,Goalkeeper,Malaysia,446
Aidil Iskandar Anuar,Kelantan FC,-,19,Goalkeeper,Malaysia,447
Johan Shahzidane,Kelantan FC,76,19,Goalkeeper,Malaysia,448
Irfan Haikal,Kelantan FC,89,20,Goalkeeper,Malaysia,449
Carli de Murga,Kelantan FC,-,33,Defenders,Philippines,125000
Min-kyu Kim,Kelantan FC,-,22,Defenders,"Korea, South",125000
Khairul Helmi,Kelantan FC,-,33,Defenders,Malaysia,25000
Gerald Gadit,Kelantan FC,-,22,Defenders,Malaysia,10000
Christian Rontini,Kelantan FC,-,22,Defenders,Philippines,454
Arip Amiruddin,Kelantan FC,7,29,Defenders,Malaysia,455
Firdaus Hasnoddin,Kelantan FC,-,19,Defenders,Malaysia,456
Rakesh Munusamy,Kelantan FC,-,19,Defenders,Malaysia,457
Reegan Abraham Saravanan,Kelantan FC,41,19,Defenders,Malaysia,458
Hafiq Al-Muhafiz Jasman,Kelantan FC,45,19,Defenders,Malaysia,459
Syaqimi Rozi,Kelantan FC,72,19,Defenders,Malaysia,460
Farish Ainun,Kelantan FC,96,15,Defenders,Malaysia,461
Izzat Azmi,Kelantan FC,98,20,Defenders,Malaysia,462
Afzal Akbar,Kelantan FC,-,23,Defenders,Malaysia,463
Yusri Yuhasmadi,Kelantan FC,5,23,Defenders,Malaysia,464
Muhamad Kamel,Kelantan FC,70,19,Defenders,Malaysia,465
Amirul Hakim Lailee,Kelantan FC,79,17,Defenders,Malaysia,466
Afiq Azuan,Kelantan FC,-,26,Defenders,Malaysia,467
Ghaffar Abdul Rahman,Kelantan FC,4,23,Defenders,Malaysia,468
Krishna Thasan,Kelantan FC,-,19,Midfielders,Malaysia,469
Hafizan Ghazali,Kelantan FC,33,19,Midfielders,Malaysia,470
Ammar Nuqman,Kelantan FC,61,22,Midfielders,Malaysia,471
Mario Arqués,Kelantan FC,-,29,Midfielders,Spain,275000
Faiz Mazlan,Kelantan FC,-,24,Midfielders,Malaysia,125000
Ali Ezzahan Zulkifli,Kelantan FC,-,19,Midfielders,Malaysia,474
Allee Putra,Kelantan FC,99,16,Midfielders,Malaysia,475
Haziman Che Ngah,Kelantan FC,-,20,Midfielders,Malaysia,476
Rizaqmi Hashim,Kelantan FC,43,22,Midfielders,Malaysia,477
Ikhwan Yazek,Kelantan FC,-,21,Midfielders,Malaysia,478
Irfan Nizar,Kelantan FC,-,20,Midfielders,Malaysia,479
Haikal Pauzi,Kelantan FC,-,15,Midfielders,Malaysia,480
Fazrul Amir Zaman,Kelantan FC,17,21,Midfielders,Malaysia,481
Saranraj Kala Arasu,Kelantan FC,67,30,Midfielders,Malaysia,482
Izuddin Asri,Kelantan FC,88,19,Midfielders,Malaysia,483
Miguel Cifuentes,Kelantan FC,-,31,Midfielders,Spain,600000
Leonardo Rolón,Kelantan FC,77,26,Midfielders,Argentina,175000
Khairil Anuar,Kelantan FC,-,26,Midfielders,Malaysia,25000
Yi-chan Kang,Kelantan FC,-,20,Midfielders,"Korea, South",487
Natanael Siringoringo,Kelantan FC,10,22,Midfielders,Indonesia,488
Danial Ashraf Abdullah,Kelantan FC,-,24,Forwards,Malaysia,100000
Nuha Marong,Kelantan FC,-,28,Forwards,The Gambia,200000
Ismaheel Akinade,Kelantan FC,-,27,Forwards,Nigeria,150000
Shafiq Shaharudin,Kelantan FC,-,27,Forwards,Malaysia,25000
Nurshamil Abd Ghani,Kelantan FC,-,27,Forwards,Malaysia,493
Harith Akif,Kelantan FC,40,20,Forwards,Malaysia,494
Khalaif Naskam,Kelantan FC,48,19,Forwards,Malaysia,495
Hariharan Kartheyges,Kelantan FC,49,19,Forwards,Malaysia,496
Afif Jazimin,Kelantan FC,78,19,Forwards,Malaysia,497
Izaham Haslin,Kelantan FC,97,15,Forwards,Malaysia,498
Aqil Razak,PDRM FC,1,24,Goalkeeper,Malaysia,10000
Ramadhan Hamid,PDRM FC,80,27,Goalkeeper,Malaysia,500
Willfred Jabun,PDRM FC,-,32,Goalkeeper,Malaysia,501
Nor Hakeem Hamidun,PDRM FC,-,20,Goalkeeper,Malaysia,502
Izzat Zuhairie,PDRM FC,-,21,Defenders,Malaysia,503
Aliff Najmi,PDRM FC,4,21,Defenders,Malaysia,50000
James Okwuosa,PDRM FC,22,31,Defenders,Nigeria,505
Iqmal Harun,PDRM FC,-,25,Defenders,Malaysia,506
Izaffiq Ruzi,PDRM FC,-,24,Defenders,Malaysia,507
Amir Saiful,PDRM FC,19,27,Defenders,Malaysia,508
Alif Naquiddin,PDRM FC,26,25,Defenders,Malaysia,509
Azmi Muslim,PDRM FC,-,35,Defenders,Malaysia,75000
Izaaq Izhan Yuswardi,PDRM FC,-,26,Defenders,Malaysia,25000
Norfiqrie Talib,PDRM FC,5,25,Defenders,Malaysia,25000
Fadi Awad,PDRM FC,77,28,Midfielders,Jordan,100000
Kyaw Min Oo,PDRM FC,6,25,Midfielders,Myanmar,514
Zulkhairi Mohamad,PDRM FC,-,22,Midfielders,Malaysia,515
Fauzi Abdul Majid,PDRM FC,13,39,Midfielders,Malaysia,516
Shazrin Abu Samah,PDRM FC,16,22,Midfielders,Malaysia,517
Safiee Ahmad,PDRM FC,32,24,Midfielders,Malaysia,518
Mario Arqués,PDRM FC,8,29,Midfielders,Spain,275000
Shyamierul Razmee,PDRM FC,-,23,Midfielders,Malaysia,10000
Amirul Hakim Safian,PDRM FC,-,21,Midfielders,Malaysia,521
Zazrir Naim,PDRM FC,-,22,Midfielders,Malaysia,10000
Jacque Faye,PDRM FC,-,26,Midfielders,Senegal,523
Marcus Macauley,PDRM FC,10,30,Midfielders,Liberia,524
Amirul Waie Yaacob,PDRM FC,17,25,Midfielders,Malaysia,525
Dzulfahmi Abdul Hadi,PDRM FC,11,27,Midfielders,Malaysia,526
Fakhrul Azim,PDRM FC,89,22,Midfielders,Malaysia,527
Nabil Lapti,PDRM FC,30,29,Midfielders,Malaysia,528
Alifh Aiman Rosman,PDRM FC,7,22,Midfielders,Malaysia,529
Uche Agba,PDRM FC,21,35,Forwards,Nigeria,200000
Arif Anwar,PDRM FC,20,26,Forwards,Malaysia,50000
Hadi Fayyadh,PDRM FC,18,21,Forwards,Malaysia,25000
Bruno Suzuki,PDRM FC,9,31,Forwards,Japan,533
Chukwu Chijioke,PDRM FC,-,24,Forwards,Nigeria,534
